SongNumber,SongName,Name,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth
26,Samaria,Treble,l,l,l,l,s,f,l,l
26,Samaria,Alto,f,l,f,f,m,l,m,f
26,Samaria,Tenor,l,f,f,f,s,l,s,l
26,Samaria,Bass,l,l,l,l,m,f,s,l
27t,Bethel,Treble,l,l,s,l,s,s,f,l
27t,Bethel,Alto,f,f,l,f,s,l,l,m
27t,Bethel,Tenor,l,f,l,l,s,f,m,l
27t,Bethel,Bass,l,l,f,l,s,f,m,l
27b,Rochester,Treble,l,l,s,f,l,f,s,l
27b,Rochester,Alto,s,l,m,f,s,l,s,s
27b,Rochester,Tenor,f,f,s,l,f,s,m,f
27b,Rochester,Bass,f,l,s,f,f,f,s,f
28t,Aylesbury,Treble,l,f,m,l,s,l,f,l
28t,Aylesbury,Alto,l,f,s,l,l,l,s,l
28t,Aylesbury,Tenor,l,l,s,f,m,l,l,s
28t,Aylesbury,Bass,l,l,s,l,l,l,l,f
28b,Wells,Treble,l,s,s,l,s,f,l,s
28b,Wells,Alto,s,s,s,l,s,f,f,m
28b,Wells,Tenor,f,l,s,f,m,f,l,s
28b,Wells,Bass,f,f,m,f,l,f,s,s
29t,Fairfield,Treble,l,f,l,l,s,f,f,m
29t,Fairfield,Alto,l,l,l,s,s,l,l,l
29t,Fairfield,Tenor,l,f,l,l,s,l,l,m
29t,Fairfield,Bass,l,l,f,m,s,l,l,l
29b,Tribulation,Treble,l,l,s,l,s,l,l,s
29b,Tribulation,Tenor,f,s,l,l,s,l,l,s
29b,Tribulation,Bass,l,l,f,m,l,l,f,f
30t,Love Divine,Treble,s,s,f,f,l,s,f,l
30t,Love Divine,Alto,l,l,s,s,l,s,s,l
30t,Love Divine,Tenor,f,f,l,l,l,m,f,l
30t,Love Divine,Bass,f,f,s,s,f,m,l,s
30b,Prospect,Treble,f,s,l,f,l,s,s,f
30b,Prospect,Alto,l,l,l,s,s,l,s,l
30b,Prospect,Tenor,s,l,f,f,l,s,f,l
30b,Prospect,Bass,s,l,f,f,l,s,s,f
31t,Ninety-Third Psalm,Treble,f,f,s,s,s,l,f,l
31t,Ninety-Third Psalm,Alto,s,l,l,s,s,f,s,f
31t,Ninety-Third Psalm,Tenor,s,l,f,l,s,f,l,s
31t,Ninety-Third Psalm,Bass,f,f,l,s,l,s,f,f
31b,Webster,Treble,s,s,f,l,s,l,s,f
31b,Webster,Alto,l,f,m,f,s,l,l,l
31b,Webster,Tenor,f,l,s,l,s,f,s,f
31b,Webster,Bass,f,f,s,l,s,f,f,l
32t,Corinth,Treble,s,l,s,s,s,l,s,l
32t,Corinth,Alto,l,f,s,l,l,f,m,f
32t,Corinth,Tenor,f,l,s,f,f,l,s,s
32t,Corinth,Bass,f,l,s,s,s,l,s,f
32t,Corinth,Bass,f,l,s,s,f,l,s,f
32b,Distress,Treble,l,l,f,l,l,l,l,l
32b,Distress,Alto,f,l,m,f,s,f,l,f
32b,Distress,Tenor,l,f,s,l,s,f,l,s
32b,Distress,Bass,l,f,m,l,l,l,l,l
33t,Weeping Savior,Treble,l,l,l,f,s,l,l,l
33t,Weeping Savior,Alto,f,l,f,l,m,f,f,l
33t,Weeping Savior,Tenor,l,f,l,f,s,l,l,f
33t,Weeping Savior,Bass,l,f,l,s,l,l,l,l
33b,Abbeville,Treble,s,s,l,s,l,s,f,s
33b,Abbeville,Alto,l,f,f,m,l,l,s,s
33b,Abbeville,Tenor,f,l,f,l,s,l,m,f
33b,Abbeville,Bass,f,f,s,l,s,f,f,l
34t,The Gospel Pool,Treble,s,l,f,l,f,l,s,s
34t,The Gospel Pool,Alto,f,l,s,l,l,s,l,l
34t,The Gospel Pool,Tenor,f,l,s,l,s,l,s,f
34t,The Gospel Pool,Bass,f,f,l,s,l,f,f,f
34b,St. Thomas,Treble,f,l,l,s,s,l,s,f
34b,St. Thomas,Alto,s,s,s,s,s,l,s,s
34b,St. Thomas,Tenor,s,f,f,l,s,f,s,l
34b,St. Thomas,Bass,f,l,s,f,m,l,s,f
35,Saints Bound For Heaven,Treble,f,s,l,l,s,s,l,s
35,Saints Bound For Heaven,Alto,f,s,f,f,l,l,f,m
35,Saints Bound For Heaven,Tenor,l,s,l,f,f,f,l,s
